Country,Capital
Afghanistan,Kabul
Albania,Tiranë (Tirana)
Algeria,El Djazaïr  (Algiers)
American Samoa,Pago Pago
Andorra,Andorra la Vella
Angola,Luanda
Anguilla,The Valley
Antigua and Barbuda,St. John's
Argentina,Buenos Aires
Armenia,Yerevan
Aruba,Oranjestad
Australia,Canberra
Austria,Wien (Vienna)
Azerbaijan,Baku
Bahamas,Nassau
Bahrain,Al-Manamah (Manama)
Bangladesh,Dhaka
Barbados,Bridgetown
Belarus,Minsk
Belgium,Bruxelles-Brussel
Belize,Belmopan
Benin,Cotonou
Benin,Porto-Novo
Bermuda,Hamilton
Bhutan,Thimphu
Bolivia (Plurinational State of),La Paz
Bolivia (Plurinational State of),Sucre
Bosnia and Herzegovina,Sarajevo
Botswana,Gaborone
Brazil,Brasília
British Virgin Islands,Road Town
Brunei Darussalam,Bandar Seri Begawan
Bulgaria,Sofia
Burkina Faso,Ouagadougou
Burundi,Bujumbura
Cabo Verde,Praia
Cambodia,Phnum Pénh (Phnom Penh)
Cameroon,Yaoundé
Canada,Ottawa-Gatineau
Caribbean Netherlands,Kralendijk
Cayman Islands,George Town
Central African Republic,Bangui
Chad,N'Djaména
Channel Islands,St. Helier
Channel Islands,St. Peter Port
Chile,Santiago
China,Beijing
"China, Hong Kong SAR",Hong Kong
"China, Macao SAR",Macao
"China, Taiwan Province of China",Taibei
Colombia,Bogotá
Comoros,Moroni
Congo,Brazzaville
Cook Islands,Rarotonga
Costa Rica,San José
Côte d'Ivoire,Abidjan
Côte d'Ivoire,Yamoussoukro
Croatia,Zagreb
Cuba,La Habana (Havana)
Curaçao,Willemstad
Cyprus,Lefkosia (Nicosia)
Czechia,Praha (Prague)
Dem. People's Republic of Korea,P'yongyang
Democratic Republic of the Congo,Kinshasa
Denmark,København (Copenhagen)
Djibouti,Djibouti
Dominica,Roseau
Dominican Republic,Santo Domingo
Ecuador,Quito
Egypt,Al-Qahirah (Cairo)
El Salvador,San Salvador
Equatorial Guinea,Malabo
Eritrea,Asmara
Estonia,Tallinn
Ethiopia,Addis Ababa
Faeroe Islands,Tórshavn
Falkland Islands (Malvinas),Stanley
Fiji,Suva
Finland,Helsinki
France,Paris
French Guiana,Cayenne
French Polynesia,Papeete
Gabon,Libreville
Gambia,Banjul
Georgia,Tbilisi
Germany,Berlin
Ghana,Accra
Gibraltar,Gibraltar
Greece,Athínai (Athens)
Greenland,Nuuk (Godthåb)
Grenada,St.George's
Guadeloupe,Basse-Terre
Guam,Hagåtña
Guatemala,Ciudad de Guatemala (Guatemala City)
Guinea,Conakry
Guinea-Bissau,Bissau
Guyana,Georgetown
Haiti,Port-au-Prince
Holy See,Vatican City
Honduras,Tegucigalpa
Hungary,Budapest
Iceland,Reykjavík
India,Delhi
Indonesia,Jakarta
Iran (Islamic Republic of),Tehran
Iraq,Baghdad
Ireland,Dublin
Isle of Man,Douglas
Israel,Jerusalem
Italy,Roma (Rome)
Jamaica,Kingston
Japan,Tokyo
Jordan,Amman
Kazakhstan,Astana
Kenya,Nairobi
Kiribati,Tarawa
Kuwait,Al Kuwayt (Kuwait City)
Kyrgyzstan,Bishkek
Lao People's Democratic Republic,Vientiane
Latvia,Riga
Lebanon,Bayrut (Beirut)
Lesotho,Maseru
Liberia,Monrovia
Libya,Tarabulus (Tripoli)
